
Epoch, Val_fscore, Val_acc, Train_loss, Val_loss
32, 0.758822345685, 0.8272, 0.462608107328, 0.423017606497
33, 0.71270883761, 0.81888, 0.45260951066, 0.407882356167
34, 0.756009968758, 0.82256, 0.442367591143, 0.422866504908
35, 0.773210223421, 0.8328, 0.441801692724, 0.400852008343
36, 0.770810145767, 0.83376, 0.444312646151, 0.395512414217
37, 0.760549717465, 0.82128, 0.435391092539, 0.440663094997
38, 0.793370389144, 0.84704, 0.439356415153, 0.371159165859
39, 0.789802094967, 0.84352, 0.419902083158, 0.380275634766
40, 0.747950550473, 0.83072, 0.42612420845, 0.393323977232
41, 0.781405629687, 0.83232, 0.426345416784, 0.396648860216
42, 0.768551448402, 0.83376, 0.422011216402, 0.393507197618
43, 0.76503936275, 0.82768, 0.419114838958, 0.392914202452
